TaxaDeChegadaMedia TempoDeServicoMedio NumServidores RequisicoesSubmetidas RequisicoesConcluidas TempoMedioDeResposta TamanhoMedioDaFila
1.000000 0.840000 10 23 23 1.040166 0.000000
2.000000 0.840000 10 56 56 0.913531 0.000000
3.000000 0.840000 10 85 85 0.962953 0.000000
4.000000 0.840000 10 133 133 0.848981 0.000000
5.000000 0.840000 10 166 166 0.817276 0.005848
6.000000 0.840000 10 168 168 0.927884 0.017241
7.000000 0.840000 10 236 236 0.943721 0.350164
8.000000 0.840000 10 228 228 0.836016 0.167382
9.000000 0.840000 10 252 252 0.815058 0.407115
10.000000 0.840000 10 313 309 0.886239 2.446602
11.000000 0.840000 10 352 324 1.706176 14.694444
12.000000 0.840000 10 330 323 0.842303 3.804348
13.000000 0.840000 10 399 334 2.220142 24.362275
14.000000 0.840000 10 427 351 2.856403 37.085470
15.000000 0.840000 10 473 357 4.039458 58.449438
16.000000 0.840000 10 485 374 4.039262 59.793566
17.000000 0.840000 10 484 327 4.650742 67.596330
18.000000 0.840000 10 566 391 4.152778 77.296675
19.000000 0.840000 10 567 373 5.471595 99.072776
20.000000 0.840000 10 594 368 6.920982 131.898824
21.000000 0.840000 10 630 373 6.622738 135.720142
22.000000 0.840000 10 644 350 7.481544 154.865714
23.000000 0.840000 10 674 374 6.963952 153.492021
24.000000 0.840000 10 716 353 8.227442 188.556818
25.000000 0.840000 10 735 338 6.816374 161.073964

