NumThreads,NumeroMaximo,StartTime,ElapsedTime,MeanUtilization
3,100000,1617580371291,8026,0.3912168844014074
3,150000,1617580379379,17658,0.3620418875375435
3,200000,1617580397098,36700,0.3941913118813758
3,250000,1617580433862,57329,0.3797323427234755
3,300000,1617580491254,82694,0.3692185139029312
3,350000,1617580574008,112564,0.3813441929582494
3,400000,1617580686635,147219,0.3810896537115118
3,450000,1617580833916,186578,0.3824508735814119
3,500000,1617581020558,227038,0.3792126892038315
