KBinMemory,ArraySize,SearchRepetitions,StartTime,PopulateTime,SearchTime,TotalTime
20480,2621440,100000000,1617585887301,43,7265,7308
20480,2621440,100000000,1617587245157,37,7952,7989
204800,26214400,100000000,1617589194877,318,10592,10910
205824,26345472,100000000,1617589205874,316,10680,10996
206848,26476544,100000000,1617589216978,316,10652,10968
207872,26607616,100000000,1617589228032,321,10773,11094
208896,26738688,100000000,1617589239214,319,10729,11048
209920,26869760,100000000,1617589250349,326,10642,10968
210944,27000832,100000000,1617589261405,325,10737,11062
211968,27131904,100000000,1617589272552,319,10285,10604
212992,27262976,100000000,1617589283244,329,10890,11219
214016,27394048,100000000,1617589294549,327,10869,11196
21504,2752512,100000000,1617587253210,40,8106,8146
215040,27525120,100000000,1617589305851,320,10815,11135
216064,27656192,100000000,1617589317074,332,10693,11025
217088,27787264,100000000,1617589328187,332,10839,11171
218112,27918336,100000000,1617589339441,338,10676,11014
219136,28049408,100000000,1617589350541,336,10382,10718
220160,28180480,100000000,1617589361346,330,10729,11059
221184,28311552,100000000,1617589372492,342,10834,11176
222208,28442624,100000000,1617589383758,341,10802,11143
223232,28573696,100000000,1617589394994,335,10602,10937
224256,28704768,100000000,1617589406019,346,10774,11120
22528,2883584,100000000,1617587261417,40,8142,8182
225280,28835840,100000000,1617589417229,346,10594,10940
226304,28966912,100000000,1617589428258,339,10743,11082
227328,29097984,100000000,1617589439429,351,10855,11206
228352,29229056,100000000,1617589450721,350,10755,11105
229376,29360128,100000000,1617589461914,343,10957,11300
230400,29491200,100000000,1617589473301,356,10362,10718
231424,29622272,100000000,1617589484107,355,10885,11240
232448,29753344,100000000,1617589495430,349,10250,10599
233472,29884416,100000000,1617589506116,365,10793,11158
234496,30015488,100000000,1617589517363,360,10553,10913
23552,3014656,100000000,1617587269662,43,8252,8295
235520,30146560,100000000,1617589528365,358,10767,11125
236544,30277632,100000000,1617589539580,367,10763,11130
237568,30408704,100000000,1617589550801,366,10820,11186
238592,30539776,100000000,1617589562077,363,10813,11176
239616,30670848,100000000,1617589573345,358,10607,10965
240640,30801920,100000000,1617589584399,372,10852,11224
241664,30932992,100000000,1617589595714,370,10589,10959
242688,31064064,100000000,1617589606762,366,10837,11203
243712,31195136,100000000,1617589618069,376,10821,11197
