NumThreads,NumeroMaximo,StartTime,ElapsedTime,MeanUtilization
3,100000,1617580371291,8026,0.39121688440140745
3,150000,1617580379379,17658,0.3620418875375435
3,200000,1617580397098,36700,0.39419131188137585
3,250000,1617580433862,57329,0.37973234272347556
3,300000,1617580491254,82694,0.36921851390293126
3,350000,1617580574008,112564,0.3813441929582494
3,400000,1617580686635,147219,0.3810896537115118
3,450000,1617580833916,186578,0.38245087358141194
3,500000,1617581020558,227038,0.37921268920383155
